id, productName, partNumber, productLabel, startingInventory, inventoryReceived, inventoryShipped, inventoryOnHand, minimumRequired
0, Glass, 0000, X01, 500, 600, 200, 900, 400
1, Wood, 0001, X02, 600, 500, 300, 200, 100
2, Bricks, 0002, X03, 700, 245, 123, 535, 553
3, Polyester, 0003, X04, 1241, 345, 565, 324, 644
4, Vinyl, 0004, X05, 2343, 545, 123, 576, 157
5, Clay, 0005, X06, 655, 324, 675, 154, 234
6, Aluminum, 0006, X07, 712, 536, 874, 346, 654
7, Iron, 0007, X08, 956, 324, 675, 234, 745
8, Steel, 0008, X09, 1145, 534, 764, 354, 756
9, Plastic, 0009, X10, 1563, 1454, 254, 643, 836
